diggCount,likedByAuthor,pinnedByAuthor,replyCommentTotal,submittedVideoUrl,text,uniqueId,videoWebUrl,mentions,detailedMentions,comment_datetime,cleaned_text,gpt_sentiment
5016,False,False,2,https://www.tiktok.com/@hijabistahub/video/7466112005884169480,Duo mautttt ini masss🔥🔥🔥,nbtrsyiaa,https://www.tiktok.com/@hijabistahub/video/7466112005884169480,,,2025-01-31 16:30:17+00:00,duo maut ini masss : fire : : fire : : fire :,positive
18,False,False,0,https://www.tiktok.com/@hijabistahub/video/7468634775671082258,"selama ini, ini menurut ku dari baju sampe hijabnya paling pas di pake uti...",yayukbbs,https://www.tiktok.com/@hijabistahub/video/7468634775671082258,,,2025-02-07 13:43:05+00:00,"selama ini , ini menurut aku dari baju sampe hijabnya paling pas di pake uti.",positive
21749,False,False,37,https://www.tiktok.com/@hijabistahub/video/7468252340877921543,SIOT LA SAPE YG EDIT NI AHAHAHA,iamqistika,https://www.tiktok.com/@hijabistahub/video/7468252340877921543,,,2025-02-06 14:39:55+00:00,siot la siapa yang edit ini haha,positive
1,False,False,0,https://www.tiktok.com/@hijabistahub/video/7505224274903436552,cantik,febriyanticiihutauruk,https://www.tiktok.com/@hijabistahub/video/7505224274903436552,,,2025-06-01 11:09:19+00:00,cantik,positive
29,False,False,0,https://www.tiktok.com/@hijabistahub/video/7469314672089435399,weh dia kelakar jugak ek 🤣,ainnasihahh,https://www.tiktok.com/@hijabistahub/video/7469314672089435399,,,2025-02-09 08:52:44+00:00,weh dia kelakar juga ek : rolling_on_the_floor_laughing :,positive
314,False,False,12,https://www.tiktok.com/@hijabistahub/video/7478480573531557127,aku penat la nk ktwa sorang² 🤣🤣🤣🤣,skystar558,https://www.tiktok.com/@hijabistahub/video/7478480573531557127,,,2025-03-06 04:32:09+00:00,aku penat la nak ketawa sorang2 :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,positive
30,False,False,0,https://www.tiktok.com/@hijabistahub/video/7467500995430419719,"suara ""fujianti utami putri"" 😘",coffelate581,https://www.tiktok.com/@hijabistahub/video/7467500995430419719,,,2025-02-04 12:05:26+00:00,"suara "" fujianti utami putri "" : face_blowing_a_kiss :",positive
26629,False,False,9,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,Dia bawa dua dua woi 😭😭😭,afifrazaman,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,,,2025-01-28 17:57:30+00:00,dia bawa dua dua woi : loudly_crying_faca : : loudly_crying_faca : : loudly_crying_faca :,negative
20300,True,False,19,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,everyone’s talking about davina but itu michelle ziudith woi 😭,chaamethyst,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,,,2025-01-28 23:00:10+00:00,everyone's talking about davina but itu michelle ziudith woi : loudly_crying_faca :,negative
6823,True,False,1,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,Lain macam marketing dia bawak davina karamoy terus uolls😭👍🏻,meenrubyjane,https://www.tiktok.com/@hijabistahub/video/7464963609051794706,,,2025-01-28 16:47:25+00:00,lain macam marketing dia bawak davina karamoy terus uolls : loudly_crying_faca : : thumbs_up_light_skin_tona :,positive
