collectCount,commentCount,detailedMentions_0_id,detailedMentions_0_name,detailedMentions_0_nickName,detailedMentions_0_profileUrl,detailedMentions_1_id,detailedMentions_1_name,detailedMentions_1_nickName,detailedMentions_1_profileUrl,diggCount,fromProfileSection,id,isAd,isMuted,isPinned,isSlideshow,isSponsored,playCount,shareCount,text,textLanguage,webVideoUrl,hashtags,mentions,cleaned_text,date_mmddyyyy
17.0,1.0,,,,,,,,,227.0,videos,7523188146067246354,True,,False,False,False,6262.0,5.0,"Tapi kalau suami suruh buat, isteri kena ikut 🙇🏻‍♀️ kan? 

#hijabistahub #bajunikah ",ms,https://www.tiktok.com/@hijabistahub/video/7523188146067246354,hijabistahub bajunikah,,tapi kalau suami suruh buat isteri kena ikut :woman_bowing_light_skin_tone: kan hijabistahub bajunikah,07/04/2025
9.0,1.0,,,,,,,,,224.0,videos,7522816624383118600,True,,False,False,False,5589.0,4.0,Dua ketui ni memang tak boleh together 🫠,ms,https://www.tiktok.com/@hijabistahub/video/7522816624383118600,,,dua ketui ni memang tak boleh together :melting_face:,07/03/2025
2.0,0.0,,,,,,,,,73.0,videos,7522721882618006802,True,,False,False,False,2775.0,3.0,Apa pendapat korang? ,ms,https://www.tiktok.com/@hijabistahub/video/7522721882618006802,,,apa pendapat korang,07/03/2025
9.0,4.0,6.882966320901785e+18,puepue_fairy,𝚙𝚞𝚎𝚙𝚞𝚎𝚏𝚊𝚒𝚛𝚢,https://www.tiktok.com/@6882966320901784578,,,,,232.0,videos,7522350715046546695,True,,False,False,False,11600.0,7.0,"Replying to @𝚙𝚞𝚎𝚙𝚞𝚎𝚏𝚊𝚒𝚛𝚢 apa pendapatan korang tentang badboy?  Pendapatan admin adalah 15k sebulan

#badboy #hijabistahub ",ms,https://www.tiktok.com/@hijabistahub/video/7522350715046546695,badboy hijabistahub,@𝚙𝚞𝚎𝚙𝚞𝚎𝚏𝚊𝚒𝚛𝚢,replying to apa pendapatan korang tentang badboy pendapatan admin adalah 15k sebulan badboy hijabistahub,07/02/2025
334.0,91.0,,,,,,,,,6403.0,videos,7522082469039033618,True,,False,False,False,240300.0,333.0,"Belum reda dengan isu Leica, kini timbul pula persoalan dalam baju...saksikan segalanya dalam #HijabSensasi ",ms,https://www.tiktok.com/@hijabistahub/video/7522082469039033618,hijabsensasi,,belum reda dengan isu leica kini timbul pula persoalan dalam bajusaksikan segalanya dalam hijabsensasi,07/01/2025
15.0,1.0,,,,,,,,,95.0,videos,7521618785137085714,False,,False,True,False,5571.0,4.0,Outfit : Asmaa Abaya from HijabistaHub,en,https://www.tiktok.com/@hijabistahub/video/7521618785137085714,,,outfit : asmaa abaya from hijabistahub,06/30/2025
5.0,1.0,,,,,,,,,19.0,videos,7521382118291770632,True,,False,False,False,2898.0,0.0,"Siapa suka jersey shawl untuk pakai tudung malas malas? 

Dapatkam dengar harga dalam bag kuning! Harga murah kualiti out of the top! ✨",ms,https://www.tiktok.com/@hijabistahub/video/7521382118291770632,,,siapa suka jersey shawl untuk pakai tudung malas malas dapatkam dengar harga dalam bag kuning harga murah kualiti out of the top :sparkles:,06/29/2025
9.0,4.0,,,,,,,,,68.0,videos,7520965311093427464,True,,False,False,False,6445.0,3.0,Nak outing pakai baju cantik? Cari je HijabistaHub ✨,ms,https://www.tiktok.com/@hijabistahub/video/7520965311093427464,,,nak outing pakai baju cantik cari je hijabistahub :sparkles:,06/28/2025
2.0,2.0,,,,,,,,,69.0,videos,7520263766420851986,True,,False,False,False,5757.0,6.0,"Tulah tahu order je nak bini cantik 🙂‍↔️🤣 

#fyp ",ms,https://www.tiktok.com/@hijabistahub/video/7520263766420851986,fyp,,tulah tahu order je nak bini cantik :head_shaking_horizontally::rolling_on_the_floor_laughing: fyp,06/26/2025
8.0,1.0,,,,,,,,,48.0,videos,7520177593056890130,True,,False,False,False,5073.0,0.0,,un,https://www.tiktok.com/@hijabistahub/video/7520177593056890130,,,,06/26/2025
